LLT	PT
Reflexes increased	Hyperreflexia
Reflexes tendon increased	Hyperreflexia
Reflexology	Reflexology
Reflux esophagitis	Gastrooesophageal reflux disease
Reflux gastritis	Reflux gastritis
Reflux into endotracheal tube	Endotracheal intubation complication
Reflux laryngitis	Reflux laryngitis
Reflux nephropathy	Reflux nephropathy
Reflux oesophagitis	Gastrooesophageal reflux disease
Reflux within device	Device delivery system issue
Refraction disorder	Refraction disorder
Refraction disorder of	Refraction disorder
Refractive amblyopia	Refractive amblyopia
Refractive errors NOS	Refraction disorder
Refractoriness to platelet transfusion	Refractoriness to platelet transfusion
Refractory Wegener's granulomatosis	Granulomatosis with polyangiitis
Refractory anaemia	Refractory cytopenia with unilineage dysplasia
Refractory anaemia with an excess of blasts	Refractory anaemia with an excess of blasts
Refractory anaemia with excess blasts in transformation	Myelodysplastic syndrome transformation
Refractory anaemia with ringed sideroblasts	Refractory anaemia with ringed sideroblasts
Refractory anemia	Refractory cytopenia with unilineage dysplasia
Refractory anemia with an excess of blasts	Refractory anaemia with an excess of blasts
Refractory anemia with excess blasts in transformation	Myelodysplastic syndrome transformation
Refractory anemia with ringed sideroblasts	Refractory anaemia with ringed sideroblasts
Refractory angina pectoris	Angina pectoris
Refractory benign esophageal stricture	Oesophageal stenosis
Refractory benign oesophageal stricture	Oesophageal stenosis
Refractory cancer	Refractory cancer
Refractory cardiac ischaemia	Myocardial ischaemia
Refractory cardiac ischemia	Myocardial ischaemia
Refractory chronic cough	Cough
Refractory cytopenia with multilineage dysplasia	Refractory cytopenia with multilineage dysplasia
Refractory cytopenia with multilineage dysplasia and ringed sideroblasts	Refractory cytopenia with multilineage dysplasia
Refractory cytopenia with unilineage dysplasia	Refractory cytopenia with unilineage dysplasia
Refractory epilepsy	Epilepsy
Refractory hypertension	Hypertension
Refractory immune thrombocytopenic purpura	Immune thrombocytopenia
Refractory shock	Shock
Refsum's disease	Refsum's disease
Refusal of examination	Refusal of examination
Refusal of treatment by parent	Refusal of treatment by relative
Refusal of treatment by patient	Refusal of treatment by patient
Refusal of treatment by relative	Refusal of treatment by relative
Refusal of treatment for reason of religion	Refusal of treatment by patient
Refusal of treatment for reasons of religion of parent	Refusal of treatment by relative
Refusal of vaccination	Refusal of vaccination
Regenerative siderotic hepatic nodule	Regenerative siderotic hepatic nodule
Regional chemotherapy	Regional chemotherapy
Regional enteritis	Crohn's disease
Regional enteritis of large intestine	Crohn's disease
Regional enteritis of small intestine	Crohn's disease
Regional enteritis of unspecified site	Crohn's disease
Regional ileitis aggravated	Crohn's disease
Regional lymphadenopathy	Lymphadenopathy
Regional nerve block	Nerve block
Regional ventricular hypokinesia	Ventricular hypokinesia
Regressive behavior	Regressive behaviour
Regressive behaviour	Regressive behaviour
Regular astigmatism	Astigmatism
Regurgitation	Regurgitation
Regurgitation of food	Regurgitation
Regurgitation of medication	Regurgitation
Rehabilitation therapy	Rehabilitation therapy
Reifenstein's syndrome	Pseudohermaphroditism male
Reinfusion	Reinfusion
Reinke's edema	Laryngeal oedema
Reinke's oedema	Laryngeal oedema
Reintubate	Endotracheal intubation
Reiter syndrome	Arthritis reactive
Reiter's disease	Arthritis reactive
Reiter's syndrome	Arthritis reactive
Reiters disease	Arthritis reactive
Rejection acute hepatic	Liver transplant rejection
Rejection acute renal	Kidney transplant rejection
Rejection chronic hepatic	Liver transplant rejection
Rejection chronic renal	Chronic allograft nephropathy
Relapsing fever	Relapsing fever
Relapsing fever, louse-borne	Relapsing fever
Relapsing fever, tick-borne	Relapsing fever
Relapsing multiple sclerosis	Relapsing multiple sclerosis
Relapsing polychondritis	Polychondritis
Relapsing-remitting multiple sclerosis	Relapsing-remitting multiple sclerosis
Relationship breakdown	Partner stress
Relative afferent pupillary defect	Pupillary reflex impaired
Relative erythrocytosis	Stress polycythaemia
Relaxation	Feeling of relaxation
Relaxation therapy	Relaxation therapy
Relaxed	Feeling of relaxation
Release extensor origin	Tenotomy
Releasing factor agonist therapy	Releasing factor agonist therapy
Remarriage	Married
Remission not achieved	Remission not achieved
Remitting seronegative symmetrical synovitis with pitting edema syndrome	Seronegative arthritis
Remitting seronegative symmetrical synovitis with pitting oedema syndrome	Seronegative arthritis
Remnant gastritis	Remnant gastritis
Remnant hyperlipidaemia	Remnant hyperlipidaemia
Remnant hyperlipidemia	Remnant hyperlipidaemia
Remnant-like lipoprotein particles	Remnant-like lipoprotein particles
Remnant-like lipoprotein particles increased	Remnant-like lipoprotein particles increased
Removal of Bartholin's cyst	Bartholin's cyst removal
Removal of Shirodkar suture	Cervix cerclage procedure
Removal of ambulatory peritoneal catheter	Removal of ambulatory peritoneal catheter
Removal of celestin tube	Celestin tube removal
Removal of cervical os suture	Cervix cerclage procedure
Removal of dirt from skin	Removal of inert matter from skin or subcutaneous tissue
Removal of drug delivery system	Drug delivery system removal
Removal of drug delivery system by healthcare professional	Drug delivery system removal
Removal of epiphyseal fixation	Removal of epiphyseal fixation
Removal of external fixation	Removal of external fixation
Removal of fibrosarcoma	Sarcoma excision
Removal of foreign body	Removal of foreign body
Removal of foreign body NOS	Removal of foreign body
Removal of foreign body from conjunctiva	Removal of foreign body from conjunctiva
Removal of foreign body from esophagus	Removal of foreign body from oesophagus
Removal of foreign body from external ear	Removal of foreign body from external ear
Removal of foreign body from eye	Removal of foreign body from eye
Removal of foreign body from eyelids	Removal of foreign body from eyelids
Removal of foreign body from gastrointestinal tract	Removal of foreign body from gastrointestinal tract
Removal of foreign body from joint	Removal of foreign body from joint
Removal of foreign body from larynx	Removal of foreign body from larynx
Removal of foreign body from lens	Removal of foreign body from lens
Removal of foreign body from nose	Removal of foreign body from nose
Removal of foreign body from oesophagus	Removal of foreign body from oesophagus
Removal of foreign body from rectum	Removal of foreign body from rectum
Removal of foreign body from respiratory tract	Removal of foreign body from respiratory tract
Removal of foreign body from throat	Removal of foreign body from throat
Removal of hip prosthesis	Hip arthroplasty
Removal of inert matter from skin or subcutaneous tissue	Removal of inert matter from skin or subcutaneous tissue
Removal of internal fixation	Removal of internal fixation
Removal of kidney stone	Renal stone removal
Removal of knee prosthesis	Knee arthroplasty
Removal of medical device occlusion	Removal of medical device occlusion
Removal of meniscus of knee	Meniscus removal
Removal of metal from skin	Removal of inert matter from skin or subcutaneous tissue
Removal of other matter from skin or subcutaneous tissue	Removal of inert matter from skin or subcutaneous tissue
Removal of protective silo bag	Abdominal wall operation
Removal of renal stone	Renal stone removal
Removal of renal transplant	Removal of renal transplant
Removal of retained deciduous teeth	Tooth extraction
Removal of supernumerary digits	Limb operation
Removal of surgical hardware	Medical device removal
Removal of toe nail	Nail operation
Removal of transplanted organ	Removal of transplanted organ
Removal of urethral catheter	Bladder catheter removal
Removal of wisdom teeth	Wisdom teeth removal
Removal retained placenta	Retained placenta operation
Renal TB	Renal tuberculosis
Renal abscess	Renal abscess
Renal abscess NOS	Renal abscess
Renal acidosis tubular	Renal tubular acidosis
Renal adenoma	Renal adenoma
Renal agenesis	Renal aplasia
Renal agenesis congenital	Renal aplasia
Renal amyloidosis	Renal amyloidosis
Renal anaemia	Nephrogenic anaemia
Renal and liver transplant	Renal and liver transplant
Renal and pancreas transplant	Renal and pancreas transplant
Renal and pancreas transplant rejection	Renal and pancreas transplant rejection
Renal anemia	Nephrogenic anaemia
Renal aneurysm	Renal aneurysm
Renal angle tenderness	Costovertebral angle tenderness
Renal aplasia	Renal aplasia
Renal arteriogram	Arteriogram renal
Renal arteriogram abnormal	Arteriogram renal abnormal
Renal arteriogram normal	Arteriogram renal normal
Renal arteriosclerosis	Renal arteriosclerosis
Renal arteriovenous malformation	Renal arteriovenous malformation
Renal arteritis	Renal arteritis
Renal artery ablation	Renal sympathetic nerve ablation
Renal artery aneurysm	Renal aneurysm
Renal artery angioplasty	Renal artery angioplasty
Renal artery arteriosclerosis	Renal artery arteriosclerosis
Renal artery atherosclerosis	Renal artery arteriosclerosis
Renal artery denervation	Renal sympathetic nerve ablation
Renal artery dissection	Renal artery dissection
Renal artery embolisation	Renal artery embolisation
Renal artery embolism	Renal embolism
Renal artery embolization	Renal artery embolisation
Renal artery fibromuscular dysplasia	Renal artery fibromuscular dysplasia
Renal artery hyperplasia	Renal artery hyperplasia
Renal artery occlusion	Renal artery occlusion
Renal artery perforation	Renal artery perforation
Renal artery restenosis	Renal artery restenosis
Renal artery stenosis	Renal artery stenosis
Renal artery stenosis NOS	Renal artery stenosis
Renal artery stent placement	Renal artery stent placement
Renal artery stent removal	Renal artery stent removal
Renal artery thrombosis	Renal artery thrombosis
Renal artery ultrasound	Ultrasound kidney
Renal artery ultrasound abnormal	Ultrasound kidney abnormal
Renal artery ultrasound normal	Ultrasound kidney normal
Renal atrophy	Renal atrophy
Renal biopsy	Biopsy kidney
Renal biopsy abnormal	Biopsy kidney abnormal
Renal biopsy normal	Biopsy kidney normal
Renal bleeding	Renal haemorrhage
Renal bruit	Renal bruit
Renal calcification	Nephrocalcinosis
Renal calculi	Nephrolithiasis
Renal calculus	Nephrolithiasis
Renal calculus NOS	Nephrolithiasis
Renal calculus removal	Renal stone removal
Renal cancer	Renal cancer
Renal cancer metastatic	Renal cancer metastatic
Renal cancer recurrent	Renal cancer recurrent
Renal cancer stage I	Renal cancer stage I
Renal cancer stage II	Renal cancer stage II
Renal cancer stage III	Renal cancer stage III
Renal cancer stage IV	Renal cancer stage IV
Renal carbuncle	Renal abscess
Renal carcinoma	Renal cancer
Renal carcinoma recurrent	Renal cancer recurrent
Renal carcinoma stage I	Renal cancer stage I
Renal carcinoma stage II	Renal cancer stage II
Renal carcinoma stage III	Renal cancer stage III
Renal carcinoma stage IV	Renal cancer stage IV
Renal cell adenocarcinoma	Renal cell carcinoma
Renal cell adenocarcinoma recurrent	Renal cell carcinoma recurrent
Renal cell adenocarcinoma stage I	Renal cell carcinoma stage I
Renal cell adenocarcinoma stage II	Renal cell carcinoma stage II
Renal cell adenocarcinoma stage III	Renal cell carcinoma stage III
Renal cell adenocarcinoma stage IV	Renal cell carcinoma stage IV
Renal cell cancer	Renal cell carcinoma
Renal cell carcinoma	Renal cell carcinoma
Renal cell carcinoma NOS	Renal cell carcinoma
Renal cell carcinoma recurrent	Renal cell carcinoma recurrent
Renal cell carcinoma stage I	Renal cell carcinoma stage I
Renal cell carcinoma stage II	Renal cell carcinoma stage II
Renal cell carcinoma stage III	Renal cell carcinoma stage III
Renal cell carcinoma stage IV	Renal cell carcinoma stage IV
Renal cell carcinoma stage unspecified	Renal cell carcinoma
Renal cell carcinoma with sarcomatoid features	Renal cell carcinoma
Renal cell dysplasia	Renal cell dysplasia
Renal clear cell carcinoma	Clear cell renal cell carcinoma
Renal clearance NOS decreased	Renal function test abnormal
Renal clearance decreased	Renal function test abnormal
Renal clearances low	Renal function test abnormal
Renal colic	Renal colic
Renal collecting system dilatation	Pyelocaliectasis
Renal compression	Page kidney
Renal concentrating power decreased	Hyposthenuria
Renal cortex atrophy	Renal atrophy
Renal cortical necrosis	Renal cortical necrosis
Renal cyst	Renal cyst
Renal cyst (excl congenital)	Renal cyst
Renal cyst NOS	Renal cyst
Renal cyst aspiration	Renal cyst aspiration
Renal cyst bleeding	Renal cyst haemorrhage
Renal cyst excision	Renal cyst excision
Renal cyst haemorrhage	Renal cyst haemorrhage
Renal cyst hemorrhage	Renal cyst haemorrhage
Renal cyst infection	Renal cyst infection
Renal cyst ruptured	Renal cyst ruptured
Renal cystectomy	Renal cyst excision
Renal cysts	Renal cyst
Renal dialysis	Dialysis
Renal disease	Nephropathy
Renal disorder	Renal disorder
Renal disorder NOS	Renal disorder
Renal disorder in pregnancy	Renal disorder in pregnancy
Renal disorder prophylaxis	Renal disorder prophylaxis
Renal dysgenesis	Renal aplasia
Renal dysplasia	Renal dysplasia
Renal echinococciasis	Renal echinococciasis
Renal embolism	Renal embolism
Renal exploration	Renal exploration
Renal failure	Renal failure
Renal failure NOS	Renal failure
Renal failure acute	Acute kidney injury
Renal failure acute hypotensive	Acute kidney injury
Renal failure acute ischaemic	Acute kidney injury
Renal failure acute ischemic	Acute kidney injury
Renal failure acute on chronic	Acute kidney injury
Renal failure acute uratic	Acute kidney injury
Renal failure aggravated	Renal failure
Renal failure chronic	Chronic kidney disease
Renal failure chronic aggravated	Chronic kidney disease
Renal failure neonatal	Renal failure neonatal
Renal failure unspecified	Renal failure
Renal failure, unspecified	Renal failure
Renal function abnormal	Renal impairment
Renal function abnormal glomer	Renal impairment
Renal function aggravated	Renal impairment
Renal function disorder	Renal impairment
Renal function studies NOS abnormal	Renal function test abnormal
Renal function test	Renal function test
Renal function test abnormal	Renal function test abnormal
Renal function test normal	Renal function test normal
Renal function tests NOS	Renal function test
Renal function tests NOS abnormal	Renal function test abnormal
Renal function tests NOS normal	Renal function test normal
Renal fusion anomaly	Renal fusion anomaly
Renal glycosuria	Renal glycosuria
Renal graft function delayed	Complications of transplanted kidney
Renal graft infection	Renal graft infection
Renal graft loss	Renal transplant failure
Renal granular cell carcinoma	Renal cell carcinoma
Renal haemangioma	Renal haemangioma
Renal haematoma	Renal haematoma
Renal haemorrhage	Renal haemorrhage
Renal hamartoma	Renal hamartoma
Renal hemangioma	Renal haemangioma
Renal hematoma	Renal haematoma
Renal hemorrhage	Renal haemorrhage
Renal hydrocele	Renal hydrocele
Renal hydrocele NOS	Renal hydrocele
Renal hypertension	Renal hypertension
Renal hypertension NOS	Renal hypertension
Renal hypertrophy	Renal hypertrophy
Renal hypoperfusion	Renal ischaemia
Renal hypoplasia	Renal hypoplasia
Renal impairment	Renal impairment
Renal impairment NOS	Renal impairment
Renal impairment neonatal	Renal impairment neonatal
Renal induced edema	Oedema due to renal disease
Renal induced oedema	Oedema due to renal disease
Renal infarct	Renal infarct
Renal infarction	Renal infarct
Renal injury	Renal injury
Renal injury NOS	Renal injury
Renal insufficiency	Renal failure
Renal insufficiency aggravated	Renal failure
Renal interstitial fibrosis	Kidney fibrosis
Renal interstitium disorder	Tubulointerstitial nephritis
Renal ischaemia	Renal ischaemia
Renal ischemia	Renal ischaemia
Renal lesion excision	Renal lesion excision
Renal lipoma	Renal lipoma
Renal lipomatosis	Renal lipomatosis
Renal lithiasis prophylaxis	Renal lithiasis prophylaxis
Renal lymphocele	Renal lymphocele
Renal malposition	Renal malposition
Renal mass	Renal mass
Renal mass NOS	Renal mass
Renal medullary carcinoma	Non-renal cell carcinoma of kidney
Renal medullary necrosis	Renal papillary necrosis
Renal metastases	Metastases to kidney
Renal microlithiasis	Nephrolithiasis
Renal necrosis	Renal necrosis
Renal necrosis NOS	Renal necrosis
Renal neoplasia	Renal neoplasm
Renal neoplasm	Renal neoplasm
Renal neoplasm NOS	Renal neoplasm
Renal oncocytoma	Renal oncocytoma
Renal osteodystrophy	Chronic kidney disease-mineral and bone disorder
Renal osteopathy syndrome	Chronic kidney disease-mineral and bone disorder
Renal pain	Renal pain
Renal papillary necrosis	Renal papillary necrosis
Renal papillitis	Renal papillary necrosis
Renal papillitis necrotising	Renal papillary necrosis
Renal papillitis necrotizing	Renal papillary necrosis
Renal parenchymal haemorrhage	Renal haemorrhage
Renal parenchymal hemorrhage	Renal haemorrhage
Renal parenchymal hypertension	Renal hypertension
Renal pelvic calcification	Nephrolithiasis
Renal pelvis and ureter transitional cell cancer NOS	Transitional cell cancer of the renal pelvis and ureter
Renal pelvis and ureter transitional cell cancer localized	Transitional cell cancer of the renal pelvis and ureter localised
Renal pelvis and ureter transitional cell cancer metastatic	Transitional cell cancer of renal pelvis and ureter metastatic
Renal pelvis and ureter transitional cell cancer recurrent	Transitional cell cancer of the renal pelvis and ureter recurrent
Renal pelvis and ureter transitional cell cancer regional	Transitional cell cancer of the renal pelvis and ureter regional
Renal pelvis and ureteral cancer transitional cell NOS	Transitional cell cancer of the renal pelvis and ureter
Renal pelvis and ureteral cancer transitional cell localized	Transitional cell cancer of the renal pelvis and ureter localised
Renal pelvis and ureteral cancer transitional cell metastatic	Transitional cell cancer of renal pelvis and ureter metastatic
Renal pelvis and ureteral cancer transitional cell recurrent	Transitional cell cancer of the renal pelvis and ureter recurrent
Renal pelvis and ureteral cancer transitional cell regional	Transitional cell cancer of the renal pelvis and ureter regional
Renal pelvis and ureteric cancer NOS transitional cell	Transitional cell cancer of the renal pelvis and ureter
Renal pelvis and ureteric cancer localized transitional cell	Transitional cell cancer of the renal pelvis and ureter localised
Renal pelvis and ureteric cancer metastatic transitional cell	Transitional cell cancer of renal pelvis and ureter metastatic
Renal pelvis and ureteric cancer recurrent transitional cell	Transitional cell cancer of the renal pelvis and ureter recurrent
Renal pelvis and ureteric cancer regional transitional cell	Transitional cell cancer of the renal pelvis and ureter regional
Renal pelvis and ureteric cancer transitional cell NOS	Transitional cell cancer of the renal pelvis and ureter
Renal pelvis and ureteric cancer transitional cell localized	Transitional cell cancer of the renal pelvis and ureter localised
Renal pelvis and ureteric cancer transitional cell metastatic	Transitional cell cancer of renal pelvis and ureter metastatic
Renal pelvis and ureteric cancer transitional cell recurrent	Transitional cell cancer of the renal pelvis and ureter recurrent
Renal pelvis cancer NOS	Malignant neoplasm of renal pelvis
Renal pelvis dilatation	Pyelocaliectasis
Renal pelvis fistula	Renal pelvis fistula
Renal phospholipidosis	Renal phospholipidosis
Renal polyarteritis	Renal arteritis
Renal procedural complication	Renal procedural complication
Renal pseudoaneurysm	Renal pseudoaneurysm
Renal pseudotumor	Renal mass
Renal pseudotumour	Renal mass
Renal replacement therapy	Renal replacement therapy
Renal retransplantation	Renal transplant
Renal revascularisation surgery	Renal revascularisation surgery
Renal revascularization surgery	Renal revascularisation surgery
Renal rickets	Renal rickets
Renal salt-wasting syndrome	Renal salt-wasting syndrome
Renal scan	Renal scan
Renal scan NOS	Renal scan
Renal scan NOS abnormal	Renal scan abnormal
Renal scan NOS normal	Renal scan normal
Renal scan abnormal	Renal scan abnormal
Renal scan normal	Renal scan normal
Renal scarring	Kidney fibrosis
Renal sclerosis	Nephrosclerosis
Renal sclerosis, unspecified	Nephrosclerosis
Renal shutdown acute	Acute kidney injury
Renal stent-graft thrombosis	Vascular stent thrombosis
Renal stone	Nephrolithiasis
Renal stone removal	Renal stone removal
Renal surgery	Renal surgery
Renal sympathetic nerve ablation	Renal sympathetic nerve ablation
Renal syphilis	Renal syphilis
Renal threshold phosphate concentration	Fractional excretion of phosphate
Renal tract inflammation	Urinary tract inflammation
Renal transplant	Renal transplant
Renal transplant abscess	Transplant abscess
Renal transplant failure	Renal transplant failure
Renal transplant interstitial fibrosis and tubular atrophy	Chronic allograft nephropathy
Renal transplant torsion	Renal transplant torsion
Renal tuberculosis	Renal tuberculosis
Renal tubular acidosis	Renal tubular acidosis
Renal tubular atrophy	Renal tubular atrophy
Renal tubular disorder	Renal tubular disorder
Renal tubular disorder NOS	Renal tubular disorder
Renal tubular disorder acute	Renal tubular disorder
Renal tubular dysfunction	Renal tubular dysfunction
Renal tubular injury	Renal tubular injury
Renal tubular necrosis	Renal tubular necrosis
Renal tubular necrosis acute	Renal tubular necrosis
Renal tubulitis	Tubulointerstitial nephritis
Renal tumor excision	Renal tumour excision
Renal tumour excision	Renal tumour excision
Renal vascular disorder NOS	Renal vessel disorder
Renal vascular resistance increased	Renal vascular resistance increased
Renal vascular thrombosis	Renal vascular thrombosis
Renal vasculitis	Renal vasculitis
Renal vein compression	Renal vein compression
Renal vein embolism	Renal vein embolism
Renal vein occlusion	Renal vein occlusion
Renal vein stenosis	Renal vein stenosis
Renal vein thromboembolism	Renal vein embolism
Renal vein thrombosis	Renal vein thrombosis
Renal vein varices	Renal vein varices
Renal venogram	Venogram renal
Renal venogram abnormal	Venogram renal abnormal
Renal venogram normal	Venogram renal normal
Renal venous congestion	Kidney congestion
Renal vessel congenital anomaly	Renal vessel congenital anomaly
Renal vessel disorder	Renal vessel disorder
Renal-limited thrombotic microangiopathy	Renal-limited thrombotic microangiopathy
Rendu-Osler-Weber syndrome	Hereditary haemorrhagic telangiectasia
Renin	Renin
Renin abnormal	Renin abnormal
Renin decreased	Renin decreased
Renin high	Renin increased
Renin increased	Renin increased
Renin low	Renin decreased
Renin normal	Renin normal
Renin-angiotensin system inhibition	Renin-angiotensin system inhibition
Renovascular hypertension	Renovascular hypertension
Reocclusion	Reocclusion
Reoviral infection	Reoviral infection
Repair aortic aneurysm	Aortic aneurysm repair
Repair detached retina	Retinopexy
Repair hiatus hernia	Hernia hiatus repair
Repair hydrocele	Hydrocele operation
Repair multiple pelvic injuries	Repair multiple pelvic injuries
Repair of diaphragm injury	Repair of diaphragm injury
Repair of imperforate anus	Repair of imperforate rectum
Repair of imperforate rectum	Repair of imperforate rectum
Repair of pharynx	Pharyngeal reconstruction
Repair of urinary tract injuries	Repair of urinary tract injuries
Repair pelvic floor	Pelvic floor repair
Repair penetrating eye injury	Penetrating eye injury repair
Repair rectal prolapse	Rectal prolapse repair
Repair uterine prolapse	Uterine prolapse repair
Repair varicocele	Varicocele repair
Repeat use of single dose syringe	Multiple use of single-use product
Repeated open application test	Repeated open application test
Repeated parasuicide	Intentional self-injury
Repeated surgical procedure	Surgical procedure repeated
Reperfusion arrhythmia	Reperfusion arrhythmia
Reperfusion arrhythmias	Reperfusion arrhythmia
Reperfusion injury	Reperfusion injury
Repetitive intrusions of sleep	Sleep attacks
Repetitive motion injury	Repetitive strain injury
Repetitive speech	Repetitive speech
Repetitive strain injury	Repetitive strain injury
Replacement of ambulatory peritoneal catheter	Replacement of ambulatory peritoneal catheter
Replacement of urethral catheter	Bladder catheter replacement
Replication competent retrovirus test positive	Replication competent retrovirus test positive
Reproductive complication associated with device	Reproductive complication associated with device
Reproductive hormone	Reproductive hormone
Reproductive organ metastases NOS	Metastases to reproductive organ
Reproductive system disorder prophylaxis	Reproductive system disorder prophylaxis
Reproductive toxicity	Reproductive toxicity
Reproductive toxicity female	Reproductive toxicity
Reproductive toxicity male	Reproductive toxicity
Reproductive tract anastomotic leak	Reproductive tract anastomotic leak
Reproductive tract disorder	Reproductive tract disorder
Reproductive tract disorder NOS	Reproductive tract disorder
Reproductive tract hypoplasia, male	Reproductive tract hypoplasia, male
Reproductive tract procedural complication	Reproductive tract procedural complication
Requiring medical attention bleeding - TIMI classification	Haemorrhage
Resection of bladder neck	Bladder neck resection
Resection of rectum	Proctectomy
Resection of rectum (exc.abdomino-perineal)	Proctectomy
Residual astigmatism	Astigmatism
Residual foreign body in soft tissue	Soft tissue foreign body
Residual function	Functional residual capacity
Residual function abnormal	Functional residual capacity abnormal
Residual function decreased	Functional residual capacity decreased
Residual function high	Functional residual capacity increased
Residual function increased	Functional residual capacity increased
Residual function low	Functional residual capacity decreased
Residual function normal	Functional residual capacity normal
Residual haemorrhoidal skin tags	Haemorrhoids
Residual hemorrhoidal skin tags	Haemorrhoids
Residual ovary syndrome	Residual ovary syndrome
Residual pain	Pain
Residual schizophrenia	Schizophrenia
Residual schizophrenia, chronic state	Schizophrenia
Residual schizophrenia, chronic state with acute exacerbation	Schizophrenia
Residual schizophrenia, in remission	Schizophrenia
Residual schizophrenia, subchronic state	Schizophrenia
Residual schizophrenia, subchronic state with acute exacerbation	Schizophrenia
Residual schizophrenia, unspecified state	Schizophrenia
Residual stage of angle-closure glaucoma	Angle closure glaucoma
Residual stage of open angle glaucoma	Open angle glaucoma
Residual urine	Urinary retention
Residual urine volume	Residual urine volume
Residual urine volume decreased	Residual urine volume decreased
Residual urine volume increased	Residual urine volume increased
Resistance bacterial	Pathogen resistance
Resistance capillary decreased	Capillary fragility decreased
Resistance to movement in device	Device physical property issue
Resistant hypertension	Hypertension
Resistant oral thrush	Oral candidiasis
Resolving infantile idiopathic scoliosis	Scoliosis
Resonance disorder	Dysphonia
Resorption bone decreased	Resorption bone decreased
Resorption bone increased	Resorption bone increased
Resp gas exchange disorder NOS	Respiratory gas exchange disorder
Respiration Cheyne-Stokes-type	Cheyne-Stokes respiration
Respiration abnormal	Respiration abnormal
Respiration abnormal NOS	Respiration abnormal
Respiration biot-type	Cheyne-Stokes respiration
Respiration depressed	Respiratory depression
Respiration failure	Respiratory failure
Respiration irregularity	Irregular breathing
Respiration labored	Dyspnoea
Respiration laboured	Dyspnoea
Respiration rate decreased	Respiratory rate decreased
Respiration rate increased	Respiratory rate increased
Respiration spontaneous decreased	Hypopnoea
Respiration stimulated	Tachypnoea
Respiratory abnormality, unspecified	Respiratory disorder
Respiratory acidosis	Respiratory acidosis
Respiratory acidosis neonatal	Neonatal respiratory acidosis
Respiratory alkalosis	Respiratory alkalosis
Respiratory alkalosis neonatal	Neonatal respiratory alkalosis
Respiratory angioedema	Angioedema
Respiratory arrest	Respiratory arrest
Respiratory bronchiolitis-associated interstitial lung disease	Idiopathic interstitial pneumonia
Respiratory complication associated with device	Respiratory complication associated with device
Respiratory compromise	Respiratory disorder
Respiratory congenital anomaly	Respiratory tract malformation
Respiratory depression	Respiratory depression
Respiratory depression neonatal	Neonatal respiratory depression
Respiratory depth decreased	Respiratory depth decreased
Respiratory depth increased	Respiratory depth increased
Respiratory disorder	Respiratory disorder
Respiratory disorder NOS	Respiratory disorder
Respiratory disorder NOS neonatal	Respiratory disorder neonatal
Respiratory disorder neonatal	Respiratory disorder neonatal
Respiratory disorder prophylaxis	Respiratory disorder prophylaxis
Respiratory distress	Respiratory distress
Respiratory distress neonatal	Neonatal respiratory distress
Respiratory distress syndrome (neonatal)	Neonatal respiratory distress syndrome
Respiratory distress syndrome adult	Acute respiratory distress syndrome
Respiratory distress syndrome in newborn	Neonatal respiratory distress syndrome
Respiratory distress syndrome newborn	Neonatal respiratory distress syndrome
Respiratory dysfunction NOS	Respiratory disorder
Respiratory dyskinesia	Respiratory dyskinesia
Respiratory failure	Respiratory failure
Respiratory failure aggravated	Respiratory failure
Respiratory failure neonatal	Neonatal respiratory failure
Respiratory failure type 1	Respiratory failure
Respiratory failure type 2	Respiratory failure
Respiratory fatigue	Respiratory fatigue
Respiratory formulation administered by other route	Incorrect route of product administration
Respiratory fremitus	Respiratory fremitus
Respiratory fume inhalation disorder	Respiratory fume inhalation disorder
Respiratory fume inhalation disorder NOS	Respiratory fume inhalation disorder
Respiratory gas exchange disorder	Respiratory gas exchange disorder
Respiratory gas exchange disorder NOS	Respiratory gas exchange disorder
Respiratory infection	Respiratory tract infection
Respiratory insufficiency	Respiratory failure
Respiratory malfunction arising from mental factors	Somatic symptom disorder
Respiratory metastases	Metastases to the respiratory system
Respiratory moniliasis	Respiratory moniliasis
Respiratory muscle weakness	Respiratory muscle weakness
Respiratory obstruction unspecified	Obstructive airways disorder
Respiratory papilloma	Respiratory papilloma
Respiratory papillomatosis	Respiratory papilloma
Respiratory paralysis	Respiratory paralysis
Respiratory rate	Respiratory rate
Respiratory rate decreased	Respiratory rate decreased
Respiratory rate high	Respiratory rate increased
Respiratory rate increased	Respiratory rate increased
Respiratory rate low	Respiratory rate decreased
Respiratory rhythm disorder	Respiratory disorder
Respiratory sighs	Respiration abnormal
Respiratory sinus arrhythmia magnitude	Respiratory sinus arrhythmia magnitude
Respiratory sinus arrhythmia magnitude abnormal	Respiratory sinus arrhythmia magnitude abnormal
Respiratory sinus arrhythmia magnitude decreased	Respiratory sinus arrhythmia magnitude decreased
Respiratory sinus arrhythmia magnitude increased	Respiratory sinus arrhythmia magnitude increased
Respiratory sounds decreased	Breath sounds abnormal
Respiratory symptom	Respiratory symptom
Respiratory syncytial virus bronchiolitis	Respiratory syncytial virus bronchiolitis
Respiratory syncytial virus bronchitis	Respiratory syncytial virus bronchitis
Respiratory syncytial virus infection	Respiratory syncytial virus infection
Respiratory syncytial virus infection NOS	Respiratory syncytial virus infection
Respiratory syncytial virus infection prophylaxis	Antiviral prophylaxis
Respiratory syncytial virus infection recurrent	Respiratory syncytial virus infection
